0,0,1.361357
1,26,2.076942
2,53,0.855211
3,81,1.884956
0,108,1.082104
1,134,1.937315
2,160,0.977384
3,186,2.338741
0,214,0.942478
1,242,2.111848
2,271,1.466077
3,299,2.548181
0,325,0.925025
1,351,1.902409
2,380,1.815142
3,406,2.984513
0,433,0.558505
1,459,1.640609
2,487,2.094395
3,513,0.069813
0,540,0.279253
1,569,2.007129
2,598,2.426008
3,624,0.506145
0,651,3.106686
1,679,1.919862
2,708,2.652900
3,735,0.541052
0,761,0.017453
1,788,1.832596
2,815,2.949606
3,844,0.942478
0,870,2.391101
1,898,1.431170
2,926,0.139626
3,952,1.239184
0,981,2.076942
1,1007,1.692969
2,1034,0.488692
3,1062,1.780236
0,1090,2.024582
1,1118,1.518436
3,1171,1.815142
0,1198,1.553343
1,1225,1.448623
2,1252,1.291544
3,1279,2.129302
0,1307,1.448623
1,1336,1.343904
2,1362,1.500983
3,1389,2.216568
0,1417,0.733038
1,1445,1.047198
2,1474,1.710423
3,1501,2.775074
0,1527,0.575959
1,1556,1.343904
2,1584,2.216568
3,1612,3.001966
0,1639,0.261799
1,1667,0.750492
2,1695,2.251475
0,1753,0.104720
1,1780,0.959931
2,1806,2.879793
3,1835,0.209440
0,1864,2.914700
1,1890,0.628319
2,1917,2.792527
3,1943,0.436332
0,1969,2.373648
1,1996,0.191986
2,2024,0.139626
3,2051,0.680678
0,2077,2.286381
1,2103,0.261799
2,2130,0.750492
3,2156,1.274090
0,2182,1.867502
1,2210,0.104720
2,2237,0.541052
3,2265,1.064651
0,2292,1.378810
1,2321,2.827433
2,2350,1.082104
3,2379,1.850049
0,2405,1.029744
1,2434,2.914700
2,2462,1.431170
3,2488,1.658063
0,2517,0.925025
1,2543,2.199115
2,2570,1.239184
3,2596,2.059489
0,2625,0.575959
1,2652,2.513274
2,2681,1.605703
3,2709,2.042035
0,2738,0.104720
1,2765,2.164208
2,2794,1.884956
3,2823,2.338741
0,2849,2.914700
1,2875,1.745329
2,2902,2.181662
3,2928,2.740167
0,2955,2.391101
1,2981,1.291544
